,label,centroid-0,centroid-1
0,1,7.904249596557289,213.17321140398064
1,2,10.531190926275993,645.3232514177694
2,3,15.212534059945504,704.2724795640327
3,4,6.536260811709914,998.8290086493679
4,5,0.0,1118.0
5,6,1.6355932203389831,1160.7711864406779
6,7,12.690440060698027,1266.902377339403
7,8,11.008506616257089,1352.0274102079395
8,9,19.67783563504641,1466.2055693909895
9,10,34.71397105097546,1564.7542479546885
10,11,31.322448381900717,825.2754429638308
11,12,29.6637405947689,537.1778932282336
12,13,43.897568970226715,359.57566238732585
13,14,51.2070591079415,1155.961682581893
14,15,51.68589438629876,90.32112274024739
15,16,24.8,952.8
16,17,47.12173913043478,255.30869565217392
17,18,41.032967032967036,954.5604395604396
18,19,41.9622641509434,1020.6415094339623
19,20,51.19417475728155,198.1747572815534
20,21,47.94736842105263,987.8947368421053
21,22,82.72637650760356,1373.669218668065
22,23,84.90537962609692,697.3641103904362
23,24,62.0,229.0
24,25,62.0,232.0
25,26,67.5,196.0
26,27,91.44973357015986,526.582593250444
27,28,101.52984712448435,880.8433632613443
28,29,74.64285714285714,201.75
29,30,102.58730158730158,1053.505857898715
30,31,120.89639149777558,276.48917449332674
31,32,91.22900763358778,1578.2264631043256
32,33,91.16666666666667,1539.1666666666667
33,34,116.69396551724138,17.195581896551722
34,35,92.52941176470588,1548.764705882353
35,36,92.0,1542.0
36,37,135.8834403080873,1218.8233632862643
37,38,159.2271238682335,102.76921595068387
38,39,152.83497658368253,1538.6136307616466
39,40,140.5742225699198,470.04048503813806
40,41,173.9012941434525,1397.7599254222416
41,42,159.26491267861192,710.9007711499206
42,43,169.65516606863557,1008.414573557825
43,44,201.2298651490783,372.849808239515
44,45,173.1,541.6
45,46,208.3150543197103,13.185721676151061
46,47,205.00073583517292,221.14598969830757
47,48,196.62139917695472,511.62139917695475
48,49,226.4254091300603,1260.3011197243754
49,50,220.68945609237315,644.7865390458827
50,51,202.5,1128.0
51,52,231.42722279437007,892.825266048747
52,53,205.0,1129.0
53,54,222.17676767676767,1127.2828282828282
54,55,225.64596273291926,1055.8447204968943
55,56,248.96427996781978,1546.4836685438456
56,57,241.24421593830334,1390.5192802056556
57,58,273.0771635817909,535.9579789894948
58,59,272.5196265648207,84.48822406110757
59,60,280.6579047619048,296.15695238095236
60,61,288.2741415557113,1082.8431674842327
61,62,254.25,1425.7142857142858
62,63,289.76663878599595,710.9109810013143
63,64,308.1886668419669,439.02143044964504
64,65,301.7391963608795,171.10803639120545
65,66,274.0,21.0
66,67,330.27653505479657,1168.5924035430116
67,68,315.6923544611643,1400.343669250646
68,69,307.62006960556846,926.0397911832947
69,70,321.00252113302685,1285.4066439270355
70,71,335.8236142592211,1494.9198433958377
71,72,431.64913823425957,1571.6666373549067
72,73,324.0,540.0
73,74,366.87440649410325,862.2380150099556
74,75,364.4171071176885,305.0163847780127
75,76,364.8916033668651,38.16136316978033
76,77,381.51617381646537,741.7652367069277
77,78,372.07795536791315,598.3475572979494
78,79,364.66079295154185,177.09251101321587
79,80,368.8223350253807,107.61928934010152
80,81,393.7899502614462,1027.0702716490243
81,82,379.9227799227799,437.18146718146716
82,83,381.09375,496.35
83,84,408.86567379988435,1266.4676113360324
84,85,381.8225806451613,466.3225806451613
85,86,381.0,478.0
86,87,424.551330472103,1440.218712446352
87,88,398.47011952191235,1177.9243027888447
88,89,387.0,178.0
89,90,427.1714285714286,97.84239631336405
90,91,403.7037037037037,1120.0864197530864
91,92,438.52417995591856,495.9262284454816
92,93,453.72911787665885,185.992193598751
93,94,445.0697536360938,325.14945087563075
94,95,453.36673137225625,642.0591309541586
95,96,437.32682926829267,3.4926829268292683
96,97,464.24326375711576,914.595256166983
97,98,428.75,731.75
